Category,x,y,amount
ant,29.5706068934859,29.0821371899125,0
ant,13.6189779888485,27.2624684243513,0
ant,26.0800898105492,15.7745814481224,0
ant,9.11004079589688,27.9915664711207,0
ant,30.9748892010418,34.8220258921343,0
ant,33.2868123446675,25.5617815860764,0
ant,14.9230313136544,27.0453615770746,0
ant,33.3566980034453,34.8853790450173,0
ant,30.2484789120353,31.0217817000196,0
ant,32.592619851744,31.2183591225632,0
ant,10.4019590503607,21.5902237561072,0
ant,13.1739712265253,22.9281489247855,0
ant,14.9083889148804,19.5777381133774,0
ant,12.2569790749068,33.5091112380545,0
ant,13.2382046597401,39.7702486506153,0
food,3,3,2
food,4,3,2
food,5,3,2
food,6,3,2
food,7,3,2
food,3,4,2
food,4,4,2
food,5,4,2
food,6,4,2
food,7,4,2
food,3,5,2
food,4,5,2
food,5,5,2
food,6,5,2
food,7,5,2
food,3,6,2
food,4,6,2
food,5,6,2
food,6,6,2
food,7,6,2
food,3,7,2
food,4,7,2
food,5,7,2
food,6,7,2
food,7,7,2
chemical,19,26,0.03675375
chemical,20,26,0.11026125
chemical,21,26,0.25727625
chemical,22,26,0.33078375
chemical,23,26,0.33078375
chemical,24,26,0.18376875
chemical,25,26,0.0735075
chemical,18,27,1.485
chemical,19,27,1.74227625
chemical,20,27,4.3517925
chemical,21,27,5.77033875
chemical,22,27,10.438065
chemical,23,27,24.45757875
chemical,24,27,23.0390325
chemical,25,27,18.11403
chemical,26,27,1.485
food,34,27,2
food,35,27,2
food,36,27,2
food,37,27,2
food,38,27,2
chemical,18,28,2.97
chemical,19,28,54.01130625
chemical,20,28,22.31026875
chemical,21,28,58.115475
chemical,22,28,67.4063775
chemical,23,28,109.69732125
chemical,24,28,543.47176125
chemical,25,28,128.8245525
chemical,26,28,1.485
food,34,28,2
food,35,28,2
food,36,28,2
food,37,28,2
food,38,28,2
chemical,18,29,7.425
chemical,19,29,77.99182875
chemical,20,29,189.137025
chemical,21,29,223.9209225
chemical,22,29,37.1212875
chemical,23,29,182.19056625
chemical,24,29,179.7570225
chemical,25,29,27.31806
chemical,26,29,4.455
food,34,29,2
food,35,29,2
food,36,29,2
food,37,29,2
food,38,29,2
chemical,18,30,5.94
chemical,19,30,228.42981375
chemical,20,30,645.39250875
chemical,21,30,112.66732125
chemical,22,30,27.16102125
chemical,23,30,16.85586375
chemical,24,30,64.83175875
chemical,25,30,101.3475375
chemical,26,30,2.97
food,34,30,2
food,35,30,2
food,36,30,2
food,37,30,2
food,38,30,2
food,5,31,1
chemical,18,31,4.455
chemical,19,31,24.09078375
chemical,20,31,28.9790325
chemical,21,31,25.00183125
chemical,22,31,5.5130625
chemical,23,31,2.25682875
chemical,24,31,4.74903
chemical,25,31,4.602015
chemical,26,31,2.97
chemical,33,31,60
food,34,31,2
food,35,31,2
food,36,31,2
food,37,31,2
food,38,31,2
chemical,19,32,0.0735075
chemical,20,32,0.147015
chemical,21,32,0.2205225
chemical,22,32,0.147015
chemical,23,32,0.0735075
food,3,50,2
food,4,50,2
food,5,50,2
food,6,50,2
food,7,50,2
food,3,51,2
food,4,51,2
food,5,51,2
food,6,51,2
food,7,51,2
food,3,52,2
food,4,52,2
food,5,52,2
food,6,52,2
food,7,52,2
food,3,53,2
food,4,53,2
food,5,53,2
food,6,53,2
food,7,53,2
food,3,54,2
food,4,54,2
food,5,54,2
food,6,54,2
food,7,54,2
